docid,sentid,refs_loc,in_ref,strat_phrase_root,num_phrase,target_relation,target_distance,sentence,strat_flag,strat_name_id,strat_start,strat_end,int_name,age_agree,age_sum,words_between,target_word,target_word_idx,target_id
558dcf01e13823109f3edf8e,109,,no,Cerro Prieto,10,na,-28,"The Cerro Rajon area was first mapped by Longoria and others -LRB- 1978 -RRB- and Longoria and Perez -LRB- 1979 -RRB- , who described a lower Precambrian sequence of granodiorite and pegmatite and an upper Precambrian sequence that they divided into two formations , the Pitiquito Formation and the over - EXPLANATION QUATERNARY AND UPPER TERTIARY - MESOZOIC UPPER PROTEROZOIC Cerro Prieto and Buelna Formations Includes small outcrop of Arrojos Formation MIDDLE AND LOWER CAMBRIAN Basement complex Igneous and metamorphic rocks Puerto Blanco Formation La Cienega Formation LOWER CAMBRIAN Contact High-angle fault Bar and ball on downthrown side Dotted where concealed Line of measured section UPPER PROTEROZOIC Papalote and Gamuza Formations FIGURE 3 .",mention,102731,60,62,na,-,"[[0, 0]]","{and,an,upper,Precambrian,sequence,that,they,divided,into,two,formations,"","",the,Pitiquito,Formation,and,the,over,-,EXPLANATION,QUATERNARY,AND,UPPER,TERTIARY,-,MESOZOIC,UPPER,PROTEROZOIC}",pegmatite,"{31,32}",1
558dcf01e13823109f3edf8e,109,,no,Gamuza,10,na,-77,"The Cerro Rajon area was first mapped by Longoria and others -LRB- 1978 -RRB- and Longoria and Perez -LRB- 1979 -RRB- , who described a lower Precambrian sequence of granodiorite and pegmatite and an upper Precambrian sequence that they divided into two formations , the Pitiquito Formation and the over - EXPLANATION QUATERNARY AND UPPER TERTIARY - MESOZOIC UPPER PROTEROZOIC Cerro Prieto and Buelna Formations Includes small outcrop of Arrojos Formation MIDDLE AND LOWER CAMBRIAN Basement complex Igneous and metamorphic rocks Puerto Blanco Formation La Cienega Formation LOWER CAMBRIAN Contact High-angle fault Bar and ball on downthrown side Dotted where concealed Line of measured section UPPER PROTEROZOIC Papalote and Gamuza Formations FIGURE 3 .",mention,102724,109,110,na,-,"[[0, 0]]","{and,an,upper,Precambrian,sequence,that,they,divided,into,two,formations,"","",the,Pitiquito,Formation,and,the,over,-,EXPLANATION,QUATERNARY,AND,UPPER,TERTIARY,-,MESOZOIC,UPPER,PROTEROZOIC,Cerro,Prieto,and,Buelna,Formations,Includes,small,outcrop,of,Arrojos,Formation,MIDDLE,AND,LOWER,CAMBRIAN,Basement,complex,Igneous,and,metamorphic,rocks,Puerto,Blanco,Formation,La,Cienega,Formation,LOWER,CAMBRIAN,Contact,High-angle,fault,Bar,and,ball,on,downthrown,side,Dotted,where,concealed,Line,of,measured,section,UPPER,PROTEROZOIC,Papalote,and}",pegmatite,"{31,32}",1
558dcf01e13823109f3edf8e,109,,no,Buelna,10,na,-31,"The Cerro Rajon area was first mapped by Longoria and others -LRB- 1978 -RRB- and Longoria and Perez -LRB- 1979 -RRB- , who described a lower Precambrian sequence of granodiorite and pegmatite and an upper Precambrian sequence that they divided into two formations , the Pitiquito Formation and the over - EXPLANATION QUATERNARY AND UPPER TERTIARY - MESOZOIC UPPER PROTEROZOIC Cerro Prieto and Buelna Formations Includes small outcrop of Arrojos Formation MIDDLE AND LOWER CAMBRIAN Basement complex Igneous and metamorphic rocks Puerto Blanco Formation La Cienega Formation LOWER CAMBRIAN Contact High-angle fault Bar and ball on downthrown side Dotted where concealed Line of measured section UPPER PROTEROZOIC Papalote and Gamuza Formations FIGURE 3 .",mention,102730,63,64,na,-,"[[0, 0]]","{and,an,upper,Precambrian,sequence,that,they,divided,into,two,formations,"","",the,Pitiquito,Formation,and,the,over,-,EXPLANATION,QUATERNARY,AND,UPPER,TERTIARY,-,MESOZOIC,UPPER,PROTEROZOIC,Cerro,Prieto,and}",pegmatite,"{31,32}",1
558dcf01e13823109f3edf8e,109,,no,EXPLANATION,10,na,-19,"The Cerro Rajon area was first mapped by Longoria and others -LRB- 1978 -RRB- and Longoria and Perez -LRB- 1979 -RRB- , who described a lower Precambrian sequence of granodiorite and pegmatite and an upper Precambrian sequence that they divided into two formations , the Pitiquito Formation and the over - EXPLANATION QUATERNARY AND UPPER TERTIARY - MESOZOIC UPPER PROTEROZOIC Cerro Prieto and Buelna Formations Includes small outcrop of Arrojos Formation MIDDLE AND LOWER CAMBRIAN Basement complex Igneous and metamorphic rocks Puerto Blanco Formation La Cienega Formation LOWER CAMBRIAN Contact High-angle fault Bar and ball on downthrown side Dotted where concealed Line of measured section UPPER PROTEROZOIC Papalote and Gamuza Formations FIGURE 3 .",mention,0,51,52,na,-,"[[0, 0]]","{and,an,upper,Precambrian,sequence,that,they,divided,into,two,formations,"","",the,Pitiquito,Formation,and,the,over,-}",pegmatite,"{31,32}",1
558dcf01e13823109f3edf8e,109,,no,Papalote,10,na,-75,"The Cerro Rajon area was first mapped by Longoria and others -LRB- 1978 -RRB- and Longoria and Perez -LRB- 1979 -RRB- , who described a lower Precambrian sequence of granodiorite and pegmatite and an upper Precambrian sequence that they divided into two formations , the Pitiquito Formation and the over - EXPLANATION QUATERNARY AND UPPER TERTIARY - MESOZOIC UPPER PROTEROZOIC Cerro Prieto and Buelna Formations Includes small outcrop of Arrojos Formation MIDDLE AND LOWER CAMBRIAN Basement complex Igneous and metamorphic rocks Puerto Blanco Formation La Cienega Formation LOWER CAMBRIAN Contact High-angle fault Bar and ball on downthrown side Dotted where concealed Line of measured section UPPER PROTEROZOIC Papalote and Gamuza Formations FIGURE 3 .",mention,102725,107,108,na,-,"[[0, 0]]","{and,an,upper,Precambrian,sequence,that,they,divided,into,two,formations,"","",the,Pitiquito,Formation,and,the,over,-,EXPLANATION,QUATERNARY,AND,UPPER,TERTIARY,-,MESOZOIC,UPPER,PROTEROZOIC,Cerro,Prieto,and,Buelna,Formations,Includes,small,outcrop,of,Arrojos,Formation,MIDDLE,AND,LOWER,CAMBRIAN,Basement,complex,Igneous,and,metamorphic,rocks,Puerto,Blanco,Formation,La,Cienega,Formation,LOWER,CAMBRIAN,Contact,High-angle,fault,Bar,and,ball,on,downthrown,side,Dotted,where,concealed,Line,of,measured,section,UPPER,PROTEROZOIC}",pegmatite,"{31,32}",1
558dcf01e13823109f3edf8e,109,,no,Pitiquito,10,na,-13,"The Cerro Rajon area was first mapped by Longoria and others -LRB- 1978 -RRB- and Longoria and Perez -LRB- 1979 -RRB- , who described a lower Precambrian sequence of granodiorite and pegmatite and an upper Precambrian sequence that they divided into two formations , the Pitiquito Formation and the over - EXPLANATION QUATERNARY AND UPPER TERTIARY - MESOZOIC UPPER PROTEROZOIC Cerro Prieto and Buelna Formations Includes small outcrop of Arrojos Formation MIDDLE AND LOWER CAMBRIAN Basement complex Igneous and metamorphic rocks Puerto Blanco Formation La Cienega Formation LOWER CAMBRIAN Contact High-angle fault Bar and ball on downthrown side Dotted where concealed Line of measured section UPPER PROTEROZOIC Papalote and Gamuza Formations FIGURE 3 .",Formation,102723,45,47,na,-,"[[0, 0]]","{and,an,upper,Precambrian,sequence,that,they,divided,into,two,formations,"","",the}",pegmatite,"{31,32}",1
55adf5cde13823763a830891,263,,no,Bushkill,1,na,-3,"Blocks of altered -LRB- tremolite-diopside-talc -RRB- dolomitic marble , serpentine , and small exposures of a coarse alaskitic pegmatite occur in the Bushkill Creek locality , but their relation to the clastic rocks is not clear ecause of alluvial and glacial cover .",mention,6957,22,23,na,-,"[[1, 0]]","{occur,in,the}",pegmatite,"{18,19}",3
558dcf01e13823109f3edf8e,109,,no,Puerto Blanco,10,na,-49,"The Cerro Rajon area was first mapped by Longoria and others -LRB- 1978 -RRB- and Longoria and Perez -LRB- 1979 -RRB- , who described a lower Precambrian sequence of granodiorite and pegmatite and an upper Precambrian sequence that they divided into two formations , the Pitiquito Formation and the over - EXPLANATION QUATERNARY AND UPPER TERTIARY - MESOZOIC UPPER PROTEROZOIC Cerro Prieto and Buelna Formations Includes small outcrop of Arrojos Formation MIDDLE AND LOWER CAMBRIAN Basement complex Igneous and metamorphic rocks Puerto Blanco Formation La Cienega Formation LOWER CAMBRIAN Contact High-angle fault Bar and ball on downthrown side Dotted where concealed Line of measured section UPPER PROTEROZOIC Papalote and Gamuza Formations FIGURE 3 .",Formation,102728,81,84,na,-,"[[0, 0]]","{and,an,upper,Precambrian,sequence,that,they,divided,into,two,formations,"","",the,Pitiquito,Formation,and,the,over,-,EXPLANATION,QUATERNARY,AND,UPPER,TERTIARY,-,MESOZOIC,UPPER,PROTEROZOIC,Cerro,Prieto,and,Buelna,Formations,Includes,small,outcrop,of,Arrojos,Formation,MIDDLE,AND,LOWER,CAMBRIAN,Basement,complex,Igneous,and,metamorphic,rocks}",pegmatite,"{31,32}",1
558dcf01e13823109f3edf8e,109,,no,Rajon,10,na,29,"The Cerro Rajon area was first mapped by Longoria and others -LRB- 1978 -RRB- and Longoria and Perez -LRB- 1979 -RRB- , who described a lower Precambrian sequence of granodiorite and pegmatite and an upper Precambrian sequence that they divided into two formations , the Pitiquito Formation and the over - EXPLANATION QUATERNARY AND UPPER TERTIARY - MESOZOIC UPPER PROTEROZOIC Cerro Prieto and Buelna Formations Includes small outcrop of Arrojos Formation MIDDLE AND LOWER CAMBRIAN Basement complex Igneous and metamorphic rocks Puerto Blanco Formation La Cienega Formation LOWER CAMBRIAN Contact High-angle fault Bar and ball on downthrown side Dotted where concealed Line of measured section UPPER PROTEROZOIC Papalote and Gamuza Formations FIGURE 3 .",mention,0,2,3,na,-,"[[0, 0]]","{area,was,first,mapped,by,Longoria,and,others,-LRB-,1978,-RRB-,and,Longoria,and,Perez,-LRB-,1979,-RRB-,"","",who,described,a,lower,Precambrian,sequence,of,granodiorite,and,pegmatite}",pegmatite,"{31,32}",1
558dcf01e13823109f3edf8e,109,,no,La Cienega,10,na,-52,"The Cerro Rajon area was first mapped by Longoria and others -LRB- 1978 -RRB- and Longoria and Perez -LRB- 1979 -RRB- , who described a lower Precambrian sequence of granodiorite and pegmatite and an upper Precambrian sequence that they divided into two formations , the Pitiquito Formation and the over - EXPLANATION QUATERNARY AND UPPER TERTIARY - MESOZOIC UPPER PROTEROZOIC Cerro Prieto and Buelna Formations Includes small outcrop of Arrojos Formation MIDDLE AND LOWER CAMBRIAN Basement complex Igneous and metamorphic rocks Puerto Blanco Formation La Cienega Formation LOWER CAMBRIAN Contact High-angle fault Bar and ball on downthrown side Dotted where concealed Line of measured section UPPER PROTEROZOIC Papalote and Gamuza Formations FIGURE 3 .",Formation,102727,84,87,na,-,"[[0, 0]]","{and,an,upper,Precambrian,sequence,that,they,divided,into,two,formations,"","",the,Pitiquito,Formation,and,the,over,-,EXPLANATION,QUATERNARY,AND,UPPER,TERTIARY,-,MESOZOIC,UPPER,PROTEROZOIC,Cerro,Prieto,and,Buelna,Formations,Includes,small,outcrop,of,Arrojos,Formation,MIDDLE,AND,LOWER,CAMBRIAN,Basement,complex,Igneous,and,metamorphic,rocks,Puerto,Blanco,Formation}",pegmatite,"{31,32}",1
